[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/settings, POST} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/settings, PATCH} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/settings/plex/token, POST} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/settings/test/setup, GET} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/settings/test/radarr, POST} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/settings/radarr, POST} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/settings/radarr/:id, PUT} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/settings/radarr/:id, DELETE} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/settings/test/sonarr, POST} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/settings/sonarr, POST} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/settings/sonarr/:id, PUT} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/settings/tautulli, GET} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/settings/tautulli, POST} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/settings/tautulli, DELETE} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/settings/test/tautulli, POST} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/settings/seerr, GET} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/settings/overseerr, GET} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/settings/jellyseerr, GET} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/settings/seerr, POST} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/settings/overseerr, POST} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/settings/jellyseerr, POST} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/settings/seerr, DELETE} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/settings/overseerr, DELETE} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/settings/jellyseerr, DELETE} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/settings/test/seerr, POST} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/settings/test/overseerr, POST} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/settings/test/jellyseerr, POST} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/settings/jellyfin, GET} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/settings/jellyfin/test, POST} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/settings/jellyfin, POST} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/settings/jellyfin, DELETE} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/settings/sonarr/:id, DELETE} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/settings/test/plex, GET} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/settings/plex/devices/servers, GET} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/settings/cron/validate, POST} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/settings/media-server/switch/preview/:targetServerType, GET} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/settings/media-server/switch, POST} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RoutesResolver] PlexApiLegacyController {/app/maintainerr/api/plex}:
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/plex, GET} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/plex/libraries, GET} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/plex/library/:id/content/:page, GET} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/plex/library/:id/content/search/:query, GET} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/plex/meta/:id, GET} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/plex/meta/:id/seen, GET} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/plex/users, GET} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/plex/meta/:id/children, GET} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/plex/library/:id/recent, GET} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/plex/library/:id/collections, GET} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/plex/library/collection/:collectionId, GET} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/plex/library/collection/:collectionId/children, GET} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/plex/search/:input, GET} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/plex/library/collection/:collectionId/child/:childId, PUT} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/plex/library/collection/:collectionId/child/:childId, DELETE} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/plex/library/collection/update, PUT} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/plex/library/collection/create, POST} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/plex/library/collection/:collectionId, DELETE} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/plex/library/collection/settings, PUT} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RoutesResolver] MediaServerController {/app/maintainerr/api/media-server}:
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/media-server, GET} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/media-server/type, GET} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/media-server/libraries, GET} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/media-server/library/:id/content, GET} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/media-server/library/:id/content/search/:query, GET} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/media-server/library/:id/recent, GET} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/media-server/users, GET} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/media-server/user/:id, GET} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/media-server/meta/:id, GET} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/media-server/meta/:id/children, GET} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/media-server/meta/:id/seen, GET} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/media-server/search/:query, GET} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/media-server/library/:id/collections, GET} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/media-server/collection/:id, GET} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/media-server/collection/:id/children, GET} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/media-server/collection, POST} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/media-server/collection/:id, DELETE} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/media-server/collection/:collectionId/item/:itemId, PUT} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/media-server/collection/:collectionId/item/:itemId, DELETE} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/media-server/collection, PUT} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/media-server/collection/visibility, PUT} route
